Tanggal,Waktu,Lokasi Kebakaran,Kelurahan,Kecamatan,Benda Yang Terbakar,Bangunan Yang Terselamatkan,Penyebab Kebakaran,Korban Meninggal,Korban Luka,Mobil Unit Yang Bertugas,Sumber Air PDAM (m3),Sumber Air Lainnya (m3),Taksiran Kerugian,Luas Areal (M2)
09/09/2018,12:15-13:10+0700,Jl. Cibuntu Timur RT. 05 RW. 07,Warung Muncang,Bandung Kulon,Pabrik Tahu,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Rescue 1 Comando 1 Dinkes,8,-,30000000,15
09/09/2018,12:27-12:47+0700,Jl. Rerencang Sarupi RT. 01 RW. 10,Ciumbuleuit,Cidadap,Alang -Alang,-,Dalam Penyelidikan,-,-,1 Pancar 1 Tangki 1 Comando,8,-,-,2000
09/09/2018,23:15-00:05+0700,Jl A.H Nasution No. 4 RT. 01 RW. 07,Cipadung Kulon,Panyileukan,Alang - Alang,-,Pembakaran Sampah,-,-,2 Pancar  1 Comando,8,-,-,1000
09/10/2018,13:33-14:00+0700,Jl.  Marga Indah No. 16,Kujang Sari,Bandung Kidul,Tumpukan Ban Bekas,Sebuah Rumah,Pembakaran Ban,-,-,1 Pancar 1 Komando 1 PMI,-,-,-,1
09/11/2018,20:15-20:50+0700,"Jl. Mengger Tengah No. 41 RT. 06 RW. 01 
",Mengger,Bandung Kidul,Bagian Kamar Dilantai 2 Sebuah Rumah,3 Buah Rumah,-,-,-,-,-,-,30000000,30
09/12/2018,"
18:23-19:55+0700",Jl. Pasir Impun RT. 01 RW. 03,Pasir Impun,Mandalajati,Alang - Alang,-,-,-,-,-,16,-,-,500
09/13/2018,11:48-13:40+0700,"Jl. Maruyung  Kp. Mandalawangi RT. 04 RW. 08 
",Pasanggrahan,Ujungberung,Sebuah Pabrik Tahu,3 Buah Rumah,-,1,-,-,16,-,250000000,200
09/15/2018,"
20:39-23:22+0700","Jl. Ciborelang No. 145 RT. 04 RW. 06
",Margasuka,Babakan Ciparay,2 Gudang Rongsok dan Penggiling Plastik,3 Buah Rumah,-,-,-,-,44,-,1000000000,800
09/16/2018,"
08:05-10:54+0700",Jl. Puyuh Dalam RT. 04 RW. 06,Sadang Serang,-,8 Buah Rumah,10 Buah Rumah,-,-,1,-,52,-,2000000000,1890
09/16/2018,19:00-19:23+0700,Jl. Cihampelas (Samping Kiri Hotel Cihampelas),Cipaganti,Coblong,Sebuah Rumah Kosong,3 Buah Rumah,Rokok,-,-,1 pancar 1 Dinkes,4,-,20000000,9
09/16/2018,18:25-19:05+0700,Jl. Anyelir I RT. 01 RW. 12,Cipadung Kidul,Panyileukan,Tumpukan Sampah Kertas Di Lahan Kosong,-,Pembakaran Samp,-,-,3 pancar 1 PMI 1 B agung,12,-,-,100
09/17/2018,02:54-05:20+0700,Jl. Pungkur No. 232 RT. 01  RW. 05,Ancol,Regol,Sebuah Gudang Plastik Kertas dan 5 Buah Motor,3 Buah Rumah,Dalam Penyelidikan,-,-,9 pancar 2 tangki 1 rescue 1 komando 1 Dinkes 1PMI,44,-,250000000,197
09/18/2018,13:30-14:50+0700,Jl. Jati Handap Gg. Uko No. 145 RT. 07 RW. 05,Jatihandap,Mandalajati,Bagian Dapur Tempat Membuat Odading,3 Buah Rumah,Kompor Gas,-,-,1 pancar,-,-,10000000,6
09/18/2018,15:20-16:10+0700,Jl. Inspeksi Cidurian RT. 03 RW. 11,Cipamokolan,Rancasari,Alang - Alang,-,Dalam Penyelidikan,-,-,2 pancar 1 comando,8,-,-,500
09/19/2018,13:19-14:12+0700,Jl. Cisitu Baru Dalam No. 13 RT. 04 RW. 11,Dago,Coblong,Dapur Sebuah  Rumah,3 Buah Rumah,Sebuah Tungku Ka,-,-,1 Pancar 1 Komando,4,-,15000000,12
09/19/2018,16:00-16:25+0700,Jl. Bojongloa No. 82,Panjunan,Astanaanyar,Eternit Rumah,3 Buah Rumah,Percikan Api Las,-,-,2 Pancar,-,-,5000000,4
09/20/2018,11:08-13:00+0700,Jl. Soekarno Hatta RT.  07 RW. 08 (Sebrang Apartemen  Tamansari Panoramic),Cisaranten Kidul,Gedebage,Alang - Alang,-,Pembakaran Sampah,-,-,2 Pancar 1 Comando,8,-,-,900
09/22/2018,12:12-14:20+0700,Jl. Ir.H.Djuanda RT. 04 RW. 07,Ciburial,Cimenyan,Alang-alang,-,Dalam Penyelidika,-,-,1 Pancar 1 Rescue 2 Tangki 1 Comando,12,-,-,2000
09/22/2018,13:46-14:50+0700,Jl. Pasirlayung Timur Blok E  RT. 06 RW. 02,Pasir Layung,Cibeunying Kidul,Tumpukan Sampah,-,Pembakaran Sampah,-,-,1 Pancar,4,-,-,150
09/23/2018,15:47-17:00+0700,Jl. Giri Rahayu III RT. 01 RW. 04,Pasir Endah,Ujungberung,Lahan Pohon Bambu,-,Dalam Penyelidikan,-,-,1 Pancar 1 Rescue,4,-,-,150
09/24/2018,19:46-20:20+0700,Jl.Banceuy No. 8  RT. 03 RW. 03 Gedung Matahari Lama,Braga,Sumur Bandung,Tumpukan Sampah,-,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Comando,-,-,-,15
09/24/2018,20:32-21:45+0700,Jl. Cipedes RT. 04 RW. 06,Cipedes,Sukajadi,2 Buah Rumah,4 Buah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Comando 1 PMI 1 Dinkes,8,-,60000000,60
09/27/2018,11:00-12:00+0700,Jl. Maruyung RT. 05 RW. 06,Pasanggrahan,Ujungberung,Alang - Alang,-,Pembakaran Sampah,-,-,1 Pancar 1 Komando,4,-,-,150
09/27/2018,23:40-01:40+0700,Jl. Dago Pojok RT. 01 RW. 03,Dago,Coblong,6  Buah Rumah,8 Buah Rumah,Dalam Penyelidikan,-,-,6 Pancar 2 Tangki 2 Rescue 2 Komando 1 Dinkes 1 PMI,32,-,400000000,365
09/29/2018,13:49-16:26+0700,Jl. Laguna Soka 3 RT. 04 RW. 13 dan Jl. Imola I RT. 06 RW. 13,Karang Pamulang,Mandalajati,Lahan Kosong,-,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Tangki 1 Komando,12,-,-,18000
09/30/2018,12:54-13:45+0700,Jl. Kawali I & X RT. 01 RW. 17,Antapani Tengah,Antapani,Alang-alang dan Tumpukan Sampah,-,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Tangki,16,-,-,26
09/30/2018,19:45-20:25+0700,Jl. Ambon No. 2 RT. 01 RW. 07,Citarum,Bandung Wetan,Restoran Bebek Setan,3 Buah Rumah,Kebocoran Tabung,-,-,5 Pancar 1 Rescue 1 Tangki 1 Komando,24,-,100000000,87
01-Okt-18,06:25 - 07:40+0700,Jl. Ir. Djuanda No.22 RT. 06 RW. 09,Dago,Coblong,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 2 Tangki 1 Rescue 1 Komando 1 Dinkes,20,-,100000000,55
02-Okt-18,18:00 - 19:20+0700,Jl. Terusan Pasir Koja Gg. Raden Dewi RT. 10  RW. 02,Babakan Tarogong,Bojongloa Kaler,Sebuah Rumah 2 Lantai,3 Buah Rumah,Dalam Penyelidikan,-,-,5 Pancar 1 Rescue 2 PMI 1 Dinkes,20,-,50000000,40
04-Okt-18,09:06 -09:37+0700,Jl. H. Tamin No. 12 RT. 04 RW. 05,Padasuka,Cibeunying Kidul,Alang-Alang,-,Pembakaran Sampah,-,-,2 Pancar 1 Rescue 1 Komando 1 Dinkes,8,-,-,50
04-Okt-18,14:21 - 16:05+0700,Jl. Batu Raden 2 RT. 03 RW. 02,Mekar Jaya,Cibeunying Kidul,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Tanki 1 Rescue 1 Komando 1 Dinkes,16,-,400000000,200
05-Okt-18,03:30 - 04:00+0700,Jl. Deme No. 115 RT. 03 RW. 05,Cibangkong,Batununggal,Tabung Gas,Sebuah Rumah,Kebocoran Tabung,-,-,1 Rescue,-,-,200000000,-
05-Okt-18,21:40- 01:35+0700,Jl. Jurang No. 1,Pasteur,Sukajadi,395 Kios Pasar,-,Dalam Penyelidikan,-,-,15 Pancar 2 Tanki 2 Rescue 4 Komando 2 PMI 1 Dinkes 2 KBB,68,-,2000000000,1580
06-Okt-18,18:50 -19:45+0700,Jl. Kopo Komplek Mas Regency Blok E No. 22 A RT. 02 RW. 01,Margasuka,Babakan Ciparay,Tumpukan Kayu,-,Pembakaran Tungku Buatan,-,-,1 Pancar 1 Komando 1 Sorean Pancar 1 Rescue Soreang,4,-,-,30
07-Okt-18,18:50-19:45+0700,Jl. Cipamokolan No. 107 RT. 05 RW. 08,Cipamokolan,Rancasari,Bengkel Powder Coating,3 Buah Rumah,Kebocoran Tabung,-,1,1 Pancar 1 Rescue,4,-,30000000,15
07-Okt-18,15:28-17:00+0700,Jl. Karang Sari No. 21 RT. 06 RW. 01,Pasteur,Sukajadi,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Tanki 1 Rescue 1 Dinkes 1 PMI,16,-,1200000000,600
08-Okt-18,20:25-21:20+0700,Jl. Pasir Layung Gg. Mekar I RT. 01 RW. 01,Pasirlayung,Cibeunying Kidul,Sebuah Kabel Listrik,-,Korsleting Listrik,-,-,1 Pancar 1 Rescue,-,-,-,-
09-Okt-18,18:35-19:15+0700,Jl. Siliwangi No. 14 RT. 05 RW. 10,Hegarmanah,Cidadap,Alang-Alang,-,Pembakaran Sampah,-,-,1 Pancar 1 PMI,4,-,-,5
10-Okt-18,03:15-03:50+0700,Jl. Terusan Jalan Jakarta No. 43,Cicaheum,Kiaracondong,Bengkel Las Listrik,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar 1 Komando,4,-,50000000,40
11-Okt-18,14:40-15:15+0700,Jl. Rancanumpang Kp. Sindangsari RT. 03 RW. 02,Rancanumpang,Gedebage,Alang-Alang,-,Dalam Penyelidikan,-,-,1 Pancar 1 Komando,4,-,-,270
12-Okt-18,18:05-18:50+0700,Jl. Sukajadi No. I RT. 01 RW. 01,Sukabungah,Sukajadi,Sebuah Gudang Dakwah Muhammadiyah,-,Selang Solar Bocor,-,-,3 Pancar 1 Rescue 1 Komando 1 PMI 1 Dinkes,12,-,10000000,8
12-Okt-18,18:05-18:30+0700,Jl. Mochamad Toha No. 206 RT. 04 RW. 04,Karasak,Astanaanyar,Sebuah Toko Listrik,3 Buah Rumah,Kebocoran Tabung,-,-,2 Pancar 1 PMI,4,-,10000000,9
13-Okt-18,18:41-20:45+0700,Jl. Soekarno Hatta No. 785A RT. 01 RW. 04,Babakan Penghulu,Cinambo,Sebuah Gudang Kayu,3 Buah Rumah,Dalam Penyelidikan,-,-,5 Pancar 1 Rescue 1 Tangki 2 Komando,24,-,50000000,50
15-Okt-18,12:26-13:00+0700,Jl. Pasir Impun RT. 03 RW. 07,Karang Pamulang,Mandalajati,Sebuah Pohon Karet,-,Pembakaran Sampah,-,-,1 Pancar,4,-,-,23
15-Okt-18,15:23-17:05+0700,Jl. Elang VI No. 37 RT. 03 RW. 11,Maleber,Andir,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,6 Pancar 2 Tangki 1 Rescue,32,-,240000000,120
16-Okt-18,19:45-21:00+0700,Jl. Pasir Impun RT. 03 RW. 07,Karang Pamulang,Mandalajati,Sebuah Pohon Karet,-,Pembakaran Sampah,-,-,1 Pancar 1 Rescue,4,-,-,23
17-Okt-18,08:30-09:00+0700,Jl. Rancaherang No. 15a RT. 07 RW. 03,Sarijadi,Sukasari,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar,-,-,2000000,2
19-Okt-18,13:32-14:17+0700,Komplek Ruko Suniaraja No. 65 PQ,Braga,Sumur Bandung,Sebuah Ruko - Ruang Server,3 Buah Rumah,Korsleting Listrik,-,2,2 Pancar 1 Rescue 1 PMI 1 Dinkes,8,-,60000000,30
19-Okt-18,18:05-18:30+0700,Jl. L.R.E. Martadinata No. 125,Cihapit,Bandung Wetan,Sebuah Gardu Listrik,-,Korsleting Listrik,-,-,2 Pancar 1 Rescue,4,-,-,8
19-Okt-18,20:06-20:29+0700,Jl. Batu Rahayu RT. 04 RW. 10,Batununggal,Bandung Kidul,Tumpukan Kertas Dan Kayu,-,Dalam Penyelidikan,-,-,1 Pancar,4,-,-,6
20-Okt-18,20:15-20:50+0700,Jl. Binong Jati (Patokan SMPN 31),Binong,Batununggal,Kamar Tidur Sebuah Rumah,4 Buah Rumah,Korsleting Listrik,-,-,1 Pancar,4,-,10000000,6
20-Okt-18,21:15-21:45+0700,Jl. Caringin Gg. Lumbung 4 RT. 01 RW. 05,Babakan Ciparay,Babakan Ciparay,Lahan Kosong,-,Pembakaran Sampah,-,-,2 Pancar,8,-,-,16
21-Okt-18,02:40-03:05+0700,Jl. Sulanjana No. 26-2,Taman Sari,Bandung Wetan,Sebuah TAXI Bandara Husein Sastranegara,-,Korsleting Listrik A,-,-,1 Pancar 1 Rescue 1 PMI,4,-,50000000,-
