Tanggal,Waktu,Lokasi Kebakaran,Kelurahan,Kecamatan,Benda Yang Terbakar,Bangunan Yang Terselamatkan,Penyebab Kebakaran,Korban Meninggal,Korban Luka,Mobil Unit Yang Bertugas,Sumber Air PDAM (m3),Sumber Air Lainnya (m3),Taksiran Kerugian,Luas Areal (M2)
01/03/2018,05:30-06:50+0700,Perempatan Jl. Soekarno Hatta - Kopo,Bojongloa Kidul,Bojongloa Kidul,Sebuah Mobil Angkot D 7996 YT,-,Korsleting Listrik A,-,-,1 Pancar,-,-,30000000,-
01/04/2018,12:45-13:50+0700,Jl. PHH Mustopa No. 41 RT. 01 RW. 06,Neglasari,Cibeunying Kaler,Sebuah Meteran Listrik,Sebuah Rumah,Korsleting Listrik,-,-,1 Pancar 1 Rescue,-,-,-,-
01/05/2018,04:05-04:30+0700,Pintu Keluar Tol Pasteur (Lampu Merah),-,-,Sebuah Mobil Box,-,Korsleting Listrik A,-,-,1 Pancar,-,-,20000000,-
01/05/2018,04:05-05:00+0700,Jl. Pasir Kaliki No. 25-27 RT. 01 RW. 08,Kebon Jeruk,Andir,5 Buah Kios Counter Food Kedai Minuman Batagor Abun Papa Dels Nasgor DC2 Nasi Campur Kiki,Kios Disekitarnya,Kebocoran Gas,-,-,2 Pancar 1 Rescue,8,-,50000000,40
01/05/2018,08:52-09:10+0700,Pasar Gedebage,Cipadung Kulon,Panyileukan,Sebuah Kabel Token Listrik dan Sebuah Kios,Kios disekitarnya,Korsleting Listrik,-,-,1 Pancar,-,-,-,-
01/05/2018,11:25-11:50+0700,Gg. Satata Sariksa RT. 04 RW. 02,Cipamokolan,Rancasari,Sebuah Rumah 2 Lantai,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar,-,-,20000000,8
01/06/2018,15:48-16:25+0700,Jl. Terusan Buah Batu Depan Klinik No. 277 RT. 09 RW. 07,Kujang Sari,Bandung Kidul,Sebuah Mobil Angkot D 1913 ZO,-,Korsleting Listrik A,-,-,2 Pancar 1 Rescue,8,-,30000000,-
01/06/2018,20:45-22:00+0700,Jl. H. Idris No. 55 RT. 01 RW. 05,Mekar Mulya,Panyileukan,Sebuah Pabrik Tahu dan Sebuah Rumah Bagian Lantai 2,3 Buah Rumah,Dari Tungku Pemb dan Korsleting Listrik,-,-,4 Pancar 1 Pancar,16,-,60000000,56
01/15/2018,14:00-14:20+0700,Jl. Cirangrang Timur RT. 06 RW. 03,Cirangrang,Babakan Ciparay,-,-,-,-,-,-,-,-,40000000,18
01/15/2018,17:40-18:20+0700,Jl. Astina Gg. Sukatinggal  No. 15 RT. 01 RW. 04,Pamoyanan,Cicendo,Sebuah Kos-Kosan 2 Lantai,3 Buah Rumah,Bakar Celana Jean,-,-,1 Pancar 2 Rescue 1 PMI 1 Dinkes,4,-,10000000,4
