"Tanggal","Durasi (Menit)","Kecamatan","Penyebab Kebakaran"
"Saturday, July 14, 2018","50","Lengkong","Dalam Penyelidikan"
"Saturday, July 14, 2018","25","Buahbatu","Pembakaran Sampah"
"Sunday, July 15, 2018","450","Panyileukan","Dalam Penyelidikan"
"Sunday, July 15, 2018","45","Andir","Dalam Penyelidikan"
"Monday, July 16, 2018","7","Bandung Kulon","Dalam Penyelidikan"
"Tuesday, July 17, 2018","33","Bandung Wetan","Pembakaran Sampah"
"Thursday, July 19, 2018","223","Bojongloa Kidul","Pembakaran Sampah"
"Friday, July 20, 2018","27","Cicendo","Korsleting Listrik"
"Friday, July 20, 2018","35","Sumur Bandung","Pembakaran Sampah"
"Friday, July 20, 2018","15","Cinambo","Dalam Penyelidikan"
"Sunday, July 22, 2018","30","Sumur Bandung","Rokok"
"Sunday, July 22, 2018","56","Coblong","Korsleting Listrik"
"Sunday, July 22, 2018","62","Cinambo","Pembakaran Rumput"
"Tuesday, July 24, 2018","44","Bandung Kulon","Korsleting Listrik"
"Wednesday, July 25, 2018","50"," Sukasari","Dari Hawu "
"Thursday, July 26, 2018","61","Bandung Kulon","Pembakaran Sampah"
"Thursday, July 26, 2018","37","Antapani","Dalam Penyelidikan"
"Friday, July 27, 2018","62","Ujungberung","Dalam Penyelidikan"
"Friday, July 27, 2018","58","Cidadap","Dari Tungku Saat Masak Air"
"Saturday, July 28, 2018","70","Cidadap","Korsleting Listrik"
"Saturday, July 28, 2018","26","Lengkong","Pembakaran Oleh Anak Kecil"
"Saturday, July 28, 2018","73","Cibeunying Kidul","Dari Serutan Kayu"
"Sunday, July 29, 2018","19","Astanaanyar","Dalam Penyelidikan"
"Monday, July 30, 2018","91","Rancasari","Pembakaran Jerami"
"Tuesday, July 31, 2018","33","Cibeunying Kidul","Pembakaran Sampah"
"Tuesday, July 31, 2018","33","Cibeunying Kidul","Dalam Penyelidikan"
"Thursday, August 02, 2018","107","Astanaanyar","Listrik"
"Monday, August 06, 2018","30","Andir","Dalam Penyelidikan"
"Thursday, August 09, 2018","30","Sumur Bandung","Pembakaran Sampah"
"Friday, August 10, 2018","65","Lengkong","Listrik"
"Saturday, August 11, 2018","37","Bandung Wetan","Dalam Penyelidikan"
"Monday, August 13, 2018","33","Panyileukan","Listrik"
"Wednesday, August 15, 2018","31","Sumur Bandung","Api Las Listrik Menyambar"
"Friday, August 17, 2018","35","Buahbatu","Dalam Penyelidikan"
"Saturday, August 18, 2018","107","Sukasari","Kompor"
"Sunday, August 19, 2018","42","Ujungberung","Dalam Penyelidikan"
